"","Tm","Player","Age","Pos","Born","College","From","To","G","MP","PTS","TRB","AST","STL","BLK","FG%","2P%","3P%","FT%","WS","WS/48","Draft.Year","Pick.Number"
"138","MEM","Shane Battier\battish01",22.297,"F","us","Duke University",2002,2014,977,30.7,8.6,4.2,1.8,1,0.9,0.437,0.486,0.384,0.743,1.51873878645993,0.121,2001,6
"139","GSW","Troy Murphy\murphtr01",21.061,"F-C","us","University of Notre Dame",2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,0.445,0.464,0.388,0.785,0.733550603166709,0.121,2001,14
"140","UTA","Kosta Koufos\koufoko01",19.127,"C","us","Ohio State University",2009,2018,601,16.5,5.7,4.9,0.4,0.4,0.8,0.532,0.533,0,0.597,-0.0547288721867218,0.121,2008,23
"141","GSW","Tyrone Hill\hillty01",22.105,"F","us","Xavier University",1991,2004,801,28,9.4,8.6,0.8,0.8,0.5,0.502,0.503,0,0.643,0.915936834719071,0.12,1990,11
"142","VAN","Steve Francis\francst01",22.134,"G","us","University of Maryland",2000,2008,576,37.6,18.1,5.6,6,1.5,0.4,0.429,0.451,0.341,0.797,0.851019701454671,0.12,1999,2
"143","CLE","Andre Miller\millean02",23.108,"G","us","University of Utah",2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,0.461,0.478,0.217,0.807,2.29465309357252,0.12,1999,8
"144","ATL","Jeff Teague\teaguje01",21.02,"G","us","Wake Forest University",2010,2018,626,27.3,12.6,2.4,5.6,1.2,0.3,0.447,0.475,0.358,0.843,0.498612406590784,0.12,2009,19
"145","NJN","Derrick Coleman\colemde01",23.012,"F","us","Syracuse University",1991,2005,781,33.2,16.5,9.3,2.5,0.8,1.3,0.447,0.465,0.295,0.769,1.16633149159604,0.119,1990,1
"146","LAC","Antonio McDyess\mcdyean01",20.299,"F-C","us","University of Alabama",1996,2011,1015,27.6,12,7.5,1.3,0.8,1.1,0.497,0.499,0.117,0.67,1.33635255490757,0.119,1995,2
"147","DAL","Josh Howard\howarjo01",23.064,"F-G","us","Wake Forest University",2004,2013,507,30.3,14.3,5.7,1.6,1,0.5,0.448,0.471,0.332,0.77,0.353321679760936,0.119,2003,29
"148","GSW","Festus Ezeli\ezelife01",22.256,"C","ng","Vanderbilt University",2013,2016,170,14.1,4.2,4.3,0.4,0.3,1,0.513,0.513,NA,0.557,-0.638983071566323,0.119,2012,30
"149","HOU","Robert Horry\horryro01",21.309,"F","us","University of Alabama",1993,2008,1107,24.5,7,4.8,2.1,1,0.9,0.425,0.469,0.341,0.726,1.22815733280023,0.118,1992,11
"150","VAN","Shareef Abdur-Rahim\abdursh01",19.202,"F","us","University of California",1997,2008,830,34.8,18.1,7.5,2.5,1,0.8,0.472,0.48,0.297,0.81,1.3796306437505,0.118,1996,3
"151","ATL","Jason Terry\terryja01",21.293,"G","us","University of Arizona",2000,2018,1369,30.2,13.7,2.4,3.9,1.1,0.2,0.444,0.484,0.38,0.845,2.30701826181336,0.118,1999,10
"152","ATL","Josh Childress\childjo01",21.01,"G-F","us","Stanford University",2005,2014,391,26.7,9.1,4.7,1.6,0.9,0.5,0.522,0.548,0.329,0.779,-0.026907243644836,0.118,2004,6
"153","PHI","Marreese Speights\speigma01",20.332,"C-F","us","University of Florida",2009,2018,676,15.1,7.9,4.1,0.6,0.3,0.5,0.461,0.475,0.352,0.798,-0.0423637039458837,0.118,2008,16
"154","LAL","Elden Campbell\campbel01",21.344,"C","us","Clemson University",1991,2005,1044,24.7,10.3,5.9,1.1,0.7,1.5,0.46,0.461,0.054,0.699,1.1199621106929,0.117,1990,27
"155","MIL","Stephon Marbury\marbust01",19.131,"G","us","Georgia Institute of Technology",1997,2009,846,37.7,19.3,3,7.6,1.2,0.1,0.433,0.465,0.325,0.784,1.5743820435437,0.117,1996,4
"156","CLE","Derek Anderson\anderde01",22.348,"G","us","University of Kentucky",1998,2008,615,29.2,12,3.2,3.4,1.1,0.1,0.408,0.44,0.341,0.853,0.535707911313299,0.117,1997,13
"157","GSW","Klay Thompson\thompkl01",21.14,"G-F","us","Washington State University",2012,2018,493,32.8,19.2,3.4,2.3,0.9,0.5,0.456,0.483,0.422,0.854,0.39659976860387,0.117,2011,11
"158","NJN","Kenny Anderson\anderke01",20.265,"G","us","Georgia Institute of Technology",1992,2005,858,30.1,12.6,3.1,6.1,1.5,0.1,0.421,0.436,0.346,0.79,1.11068823451227,0.116,1991,2
"159","ATL","Adam Keefe\keefead01",22.128,"F","us","Stanford University",1993,2001,617,16.7,5,4.1,0.7,0.5,0.3,0.502,0.505,0.071,0.714,-0.0516375801265123,0.116,1992,10
"160","POR","Jermaine O'Neal\onealje01",17.261,"F-C","us",NA,1997,2014,1011,27.1,13.2,7.2,1.4,0.5,1.8,0.467,0.469,0.147,0.715,1.21888345661961,0.116,1996,17
"161","HOU","Richard Jefferson\jefferi01",21.011,"F","us","University of Arizona",2002,2018,1169,29.2,12.7,4,2.1,0.7,0.3,0.464,0.493,0.376,0.768,1.74131181479502,0.116,2001,13
"162","SAC","Gerald Wallace\wallage01",18.344,"F","us","University of Alabama",2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,0.469,0.502,0.312,0.709,1.0241320568264,0.116,2001,25
"163","VAN","Antonio Daniels\daniean01",22.104,"G","us","Bowling Green State University",1998,2011,872,22.6,7.6,1.8,3.4,0.6,0.1,0.444,0.483,0.311,0.793,0.631537965179794,0.115,1997,4
"164","IND","Austin Croshere\croshau01",22.061,"F","us","Providence College",1998,2009,659,17.4,6.8,4,1,0.4,0.3,0.407,0.443,0.34,0.861,0.0318273054991451,0.115,1997,12
"165","LAC","Lamar Odom\odomla01",19.241,"F","us","University of Rhode Island",2000,2013,961,33.4,13.3,8.4,3.7,0.9,0.9,0.463,0.502,0.312,0.693,1.55892558324265,0.115,1999,4
"166","POR","Zach Randolph\randoza01",19.351,"F-C","us","Michigan State University",2002,2018,1083,31.2,16.7,9.2,1.8,0.8,0.3,0.472,0.481,0.264,0.763,1.68566855771124,0.115,2001,19
"167","SEA","Nick Collison\collini01",22.248,"F","us","University of Kansas",2005,2018,901,20.6,5.9,5.2,1,0.5,0.5,0.533,0.541,0.208,0.726,0.554255663674556,0.115,2003,12
"168","PHO","Luol Deng\denglu01",19.074,"F","ss","Duke University",2005,2018,880,34.7,15,6.1,2.3,1,0.5,0.455,0.481,0.332,0.77,1.44145648495469,0.115,2004,7
"169","MIN","Trevor Booker\booketr01",22.217,"F","us","Clemson University",2011,2018,486,21,7.2,5.7,1.1,0.7,0.5,0.517,0.535,0.308,0.626,-0.0640027483673504,0.115,2010,23
"170","PHI","Nikola Vucevic\vucevni01",20.247,"C","ch","University of Southern California",2012,2018,429,29.9,14.8,9.9,2.1,0.8,0.9,0.502,0.51,0.325,0.724,0.13074865142585,0.115,2011,16
"171","MIA","Kurt Thomas\thomaku01",22.272,"F","us","Texas Christian University",1996,2013,1110,24.5,8.1,6.6,1.1,0.7,0.8,0.486,0.487,0.281,0.76,1.16324019953583,0.114,1995,10
"172","ORL","Matt Harpring\harprma01",22.029,"F","us","Georgia Institute of Technology",1999,2009,665,26.4,11.5,5.1,1.4,0.7,0.2,0.481,0.493,0.333,0.753,0.473882070109108,0.114,1998,15
"173","SAC","Hedo Turkoglu\turkohe01",21.107,"F","tr",NA,2001,2015,997,26.8,11.1,4,2.8,0.8,0.3,0.426,0.45,0.384,0.784,1.13541857099395,0.114,2000,16
"174","PHI","Samuel Dalembert\dalemsa01",20.053,"C","ht","Seton Hall University",2002,2015,886,24.4,7.7,7.8,0.5,0.5,1.7,0.521,0.522,0.083,0.706,0.764463523768804,0.114,2001,26
"175","CHA","Emeka Okafor\okafoem01",21.275,"C-F","us","University of Connecticut",2005,2013,590,31.7,12.3,9.9,0.9,0.7,1.7,0.512,0.512,0,0.584,0.548073079554137,0.114,2004,2
"176","PHO","Rudy Fernandez\fernaru01",22.09,"G","es",NA,2009,2012,249,24,9.1,2.4,2.2,1,0.2,0.399,0.463,0.36,0.84,-0.382405830568932,0.114,2007,24
"177","SAC","DeMarcus Cousins\couside01",19.32,"C-F","us","University of Kentucky",2011,2018,517,32.2,21.5,10.9,3.1,1.4,1.2,0.46,0.473,0.337,0.736,0.402782352724289,0.114,2010,5
"178","CHA","Tobias Harris\harrito02",18.347,"F","us","University of Tennessee",2012,2018,413,29.1,14.1,5.6,1.6,0.7,0.5,0.468,0.51,0.347,0.813,0.0627402261012404,0.114,2011,19
"179","MIN","Donyell Marshall\marshdo01",21.047,"F","us","University of Connecticut",1995,2009,957,26.2,11.2,6.7,1.4,0.8,0.9,0.435,0.468,0.35,0.731,1.00249301240494,0.113,1994,4
"180","NYK","Charlie Ward\wardch01",23.266,"G","us","Florida State University",1995,2005,630,22.3,6.3,2.6,4,1.2,0.2,0.408,0.455,0.364,0.771,0.19875707675046,0.113,1994,26
"181","MIL","Gary Trent\trentga01",20.284,"F","us","Ohio University",1996,2004,506,19.5,8.6,4.5,1,0.4,0.3,0.501,0.507,0.08,0.643,-0.104189545150074,0.113,1995,11
"182","UTA","Scott Padgett\padgesc01",23.077,"F","us","University of Kentucky",2000,2007,448,12.5,4.2,2.7,0.7,0.4,0.2,0.41,0.433,0.373,0.736,-0.413318751171027,0.113,1999,28
"183","CLE","Brendan Haywood\haywobr01",21.218,"C","us","University of North Carolina",2002,2015,816,22.9,6.8,6,0.5,0.4,1.4,0.528,0.528,0,0.587,0.532616619253089,0.113,2001,20
"184","WAS","Devin Harris\harride01",21.123,"G","us","University of Wisconsin",2005,2018,870,25.3,11.2,2.3,4.2,1.1,0.2,0.435,0.481,0.324,0.796,0.776828692009642,0.113,2004,5
"185","NYK","Renaldo Balkman\balkmre01",21.354,"F","us","University of South Carolina",2007,2012,221,13.9,4,3.5,0.6,0.7,0.5,0.51,0.543,0.172,0.542,-0.598796274783599,0.113,2006,20
"186","BOS","Jared Sullinger\sullija01",20.121,"F","us","Ohio State University",2013,2017,269,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.476,0.272,0.723,-0.348401617906627,0.113,2012,21
"187","MIA","Arnett Moultrie\moultar01",21.228,"F","us","Mississippi State University",2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,NA,0.667,-0.768817338095124,0.113,2012,27
"188","UTA","Gorgui Dieng\dienggo01",23.166,"C","sn","University of Louisville",2014,2018,324,25.8,8.7,7,1.6,0.9,1.2,0.51,0.52,0.309,0.784,-0.212384767257408,0.113,2013,21
"189","GSW","Chris Gatling\gatlich01",23.302,"F-C","us","Old Dominion University",1992,2002,700,19.7,10.3,5.3,0.7,0.7,0.5,0.513,0.523,0.249,0.66,0.170935448208574,0.112,1991,16
"190","DET","Theo Ratliff\ratlith01",22.077,"C-F","us","University of Wyoming",1996,2011,810,25.3,7.2,5.7,0.6,0.5,2.4,0.496,0.496,0,0.71,0.65935959372168,0.112,1995,18
"191","TOR","Antawn Jamison\jamisan01",22.017,"F","us","University of North Carolina",1999,2014,1083,34.8,18.5,7.5,1.6,1,0.4,0.451,0.477,0.346,0.724,1.89278512574528,0.112,1998,4
"192","SAS","Leon Smith\smithle01",18.244,"C","us",NA,2002,2004,15,6.9,2.2,2.2,0.2,0.3,0.1,0.393,0.393,NA,0.647,-0.815186718998267,0.112,1999,29
"193","GSW","Ike Diogu\dioguik01",21.296,"F","us","Arizona State University",2006,2012,225,12.4,6,3.1,0.3,0.2,0.3,0.509,0.509,0.5,0.786,-0.620435319205066,0.112,2005,9
"194","PHO","Rajon Rondo\rondora01",20.131,"G","us","University of Kentucky",2007,2018,730,32.1,10.6,4.9,8.5,1.8,0.1,0.463,0.484,0.307,0.606,0.863384869695509,0.112,2006,21
"195","HOU","Nicolas Batum\batumni01",19.199,"F-G","fr",NA,2009,2018,643,31.7,12.1,5.3,3.7,0.9,0.7,0.435,0.505,0.355,0.84,0.643903133420632,0.112,2008,25
"196","NYK","Kristaps Porzingis\porzikr01",19.332,"F-C","lv",NA,2016,2018,162,30.7,17.5,7.2,1.4,0.7,1.9,0.442,0.477,0.355,0.82,-0.465870716194589,0.111,2015,4
"197","UTA","Greg Ostertag\ostergr01",22.119,"C","us","University of Kansas",1996,2006,756,19.5,4.6,5.5,0.6,0.3,1.7,0.486,0.487,0.1,0.569,0.223487413232136,0.11,1995,28
"198","PHI","Keith Van Horn\vanhoke01",21.251,"F","us","University of Utah",1998,2006,575,31.6,16,6.8,1.6,0.8,0.5,0.443,0.466,0.361,0.835,0.467699485988689,0.11,1997,2
"199","ORL","Keon Clark\clarkke01",23.075,"F-C","us","University of Nevada Las Vegas",1999,2004,353,22.6,8.2,5.9,0.9,0.5,1.6,0.5,0.503,0.053,0.645,-0.258754148160551,0.11,1998,13
"200","MEM","DeMarre Carroll\carrode01",22.339,"F","us","University of Missouri",2010,2018,439,23.3,8.4,4,1.2,1,0.3,0.44,0.493,0.362,0.728,-0.0949156689694457,0.11,2009,27
"201","MIL","John Henson\hensojo01",21.188,"C-F","us","University of North Carolina",2013,2018,342,19.4,7.7,5.3,1,0.4,1.5,0.537,0.539,0,0.566,-0.351492909966837,0.11,2012,14
"202","DAL","Tyler Zeller\zellety01",22.168,"F-C","us","University of North Carolina",2013,2018,360,17.8,7.1,4.4,0.9,0.3,0.6,0.506,0.508,0.176,0.76,-0.363858078207675,0.11,2012,17
"203","POR","C.J. McCollum\mccolcj01",21.287,"G","us","Lehigh University",2014,2018,288,28,16.4,2.8,2.8,0.9,0.3,0.458,0.479,0.417,0.848,-0.249480271979922,0.11,2013,10
"204","LAL","Larry Nance Jr.\nancela02",22.18,"F","us","University of Wyoming",2016,2018,142,21.7,6.6,5.6,1.1,1.1,0.5,0.533,0.553,0.229,0.71,-0.601887566843809,0.11,2015,27
"205","ORL","Bison Dele\delebi01",22.086,"F-C","us","University of Arizona",1992,1999,413,24.2,11,6.2,1.1,0.8,0.9,0.528,0.529,0.143,0.691,-0.116554713390912,0.109,1991,10
"206","NYK","Greg Anthony\anthogr01",23.229,"G","us","University of Nevada Las Vegas",1992,2002,757,20.9,7.3,1.9,4,1.2,0.1,0.403,0.434,0.349,0.733,0.288404546496536,0.109,1991,12
"207","TOR","DeMar DeRozan\derozde01",19.327,"G","us","University of Southern California",2010,2018,622,34.1,19.5,4.1,2.9,1,0.3,0.448,0.466,0.279,0.827,0.668633469902309,0.109,2009,9
"208","PHO","Michael Finley\finlemi01",22.119,"G-F","us","University of Wisconsin",1996,2010,1103,34.4,15.7,4.4,2.9,0.9,0.3,0.444,0.467,0.375,0.811,1.81241153217984,0.108,1995,21
"209","WAS","John Wall\walljo01",19.296,"G","us","University of Kentucky",2011,2018,518,36,18.9,4.4,9.2,1.7,0.7,0.433,0.456,0.32,0.788,0.480064654229527,0.108,2010,1
"210","HOU","Jeremy Lamb\lambje01",20.034,"G-F","us","University of Connecticut",2013,2018,304,17.9,8.6,3.2,1.3,0.6,0.3,0.438,0.501,0.327,0.834,-0.441140379712913,0.108,2012,12
"211","OKC","Mitch McGary\mcgarmi01",22.025,"F-C","us","University of Michigan",2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,-0.781182506335962,0.108,2014,21
"212","SAC","Willie Cauley-Stein\caulewi01",21.316,"F-C","us","University of Kentucky",2016,2018,166,20.8,8,5,1,0.7,0.8,0.532,0.536,0.1,0.664,-0.583339814482552,0.108,2015,6
"213","PHI","Ben Simmons\simmobe01",19.343,"G-F","au","Louisiana State University",2018,2018,27,36.8,17.3,8.9,7.8,2.1,0.8,0.506,0.517,0,0.559,-0.753360877794076,0.108,2016,1
"214","SEA","Ervin Johnson\johnser02",25.198,"C","us","University of New Orleans",1994,2006,845,20.1,4.1,6.1,0.5,0.6,1.3,0.505,0.507,0.2,0.605,0.347139095640517,0.107,1993,23
"215","GSW","Joe Smith\smithjo02",19.342,"F","us","University of Maryland",1996,2011,1030,26.2,10.9,6.4,1,0.6,0.8,0.455,0.458,0.238,0.79,1.04267980918766,0.107,1995,1
"216","MIN","Rasho Nesterovic\nestera01",22.03,"C","si",NA,1999,2010,811,22.2,6.8,5.1,1,0.4,1.2,0.502,0.503,0.077,0.585,0.412056228904917,0.107,1998,17
"217","DEN","James Posey\poseyja01",22.173,"F-G","us","Xavier University",2000,2011,864,26.9,8.6,4.7,1.6,1.1,0.3,0.41,0.467,0.349,0.82,0.773737399949433,0.107,1999,18
"218","CHA","Jared Dudley\dudleja01",21.358,"F-G","us","Boston College",2008,2018,753,23.8,8.2,3.4,1.6,0.9,0.2,0.468,0.518,0.397,0.733,0.415147520965127,0.107,2007,22
"219","MIL","Larry Sanders\sandela01",21.22,"C-F","us","Virginia Commonwealth University",2011,2017,238,19.5,6.4,5.7,0.7,0.6,1.8,0.48,0.481,0,0.553,-0.502966220917104,0.107,2010,15
"220","CHA","Kemba Walker\walkeke02",21.051,"G","us","University of Connecticut",2012,2018,470,34,18.6,3.8,5.4,1.3,0.4,0.412,0.443,0.35,0.83,0.282221962376117,0.107,2011,9
"221","CHH","Baron Davis\davisba01",20.083,"G","us","University of California Los Angeles",2000,2012,835,34.2,16.1,3.8,7.2,1.8,0.4,0.409,0.456,0.32,0.711,1.12923598687353,0.106,1999,3
"222","ORL","Aaron Gordon\gordoaa01",18.288,"F","us","University of Arizona",2015,2018,231,25.2,10.6,5.6,1.6,0.7,0.6,0.465,0.529,0.316,0.707,-0.425683919411866,0.106,2014,4
"223","CLE","Chris Mills\millsch01",23.162,"F","us","University of Arizona",1994,2003,568,30.4,11.2,4.9,1.9,0.7,0.4,0.432,0.455,0.351,0.817,0.344047803580308,0.105,1993,22
"224","IND","Erick Dampier\dampier01",20.353,"C","us","Mississippi State University",1997,2012,987,24.3,7.4,7.1,0.8,0.3,1.4,0.498,0.499,0.125,0.626,0.807741612611737,0.105,1996,10
"225","ORL","Mike Miller\millemi01",20.135,"F-G","us","University of Florida",2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,0.459,0.502,0.407,0.769,1.0550449774285,0.105,2000,5
"226","MEM","Drew Gooden\goodedr01",20.28,"F","us","University of Kansas",2003,2016,790,25.5,11,7.1,1.1,0.7,0.6,0.462,0.471,0.257,0.76,0.535707911313299,0.105,2002,4
"227","ATL","Marvin Williams\willima02",19.014,"F","us","University of North Carolina",2006,2018,890,28.8,10.6,5.3,1.3,0.8,0.5,0.444,0.478,0.357,0.807,0.909754250598652,0.105,2005,2
"228","TOR","Roy Hibbert\hibbero01",21.203,"C","us","Georgetown University",2009,2017,662,24.8,10,6.3,1.3,0.4,1.7,0.465,0.466,0.25,0.755,0.288404546496536,0.105,2008,17
"229","NOH","Darren Collison\collida01",21.312,"G","us","University of California Los Angeles",2010,2018,591,29.6,12.7,2.6,4.9,1.1,0.1,0.469,0.494,0.381,0.853,0.359504263881355,0.105,2009,21
"230","CHH","Scott Burrell\burresc01",22.175,"G-F","us","University of Connecticut",1994,2001,383,19.8,6.9,3.5,1.4,0.9,0.5,0.418,0.448,0.373,0.723,-0.314397405244322,0.104,1993,20
"231","VAN","Mike Bibby\bibbymi01",20.047,"G","us","University of Arizona",1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,0.436,0.463,0.379,0.802,1.44145648495469,0.104,1998,2
"232","UTA","Nazr Mohammed\mohamna01",20.297,"C","us","University of Kentucky",1999,2016,1005,15.8,5.8,4.7,0.4,0.4,0.6,0.486,0.487,0,0.64,0.238943873533184,0.104,1998,29
"233","HOU","Patrick Patterson\pattepa01",21.107,"F","us","University of Kentucky",2011,2018,506,23.4,7.6,4.5,1.2,0.6,0.5,0.458,0.505,0.369,0.748,-0.026907243644836,0.104,2010,14
"234","OKC","Reggie Jackson\jacksre01",21.073,"G","it","Boston College",2012,2018,432,24.7,12.4,3,4.4,0.7,0.1,0.433,0.473,0.325,0.859,-0.104189545150074,0.104,2011,24
"235","UTA","Eric Murdock\murdoer01",23.017,"G","us","Providence College",1992,2000,508,23.4,10.1,2.5,4.9,1.6,0.1,0.438,0.462,0.343,0.786,-0.0299985357050455,0.103,1991,21
"236","GSW","Mike Dunleavy\dunlemi02",21.289,"F-G","us","Duke University",2003,2017,986,27.7,11.2,4.3,2.2,0.7,0.3,0.441,0.481,0.377,0.803,0.98703655210389,0.103,2002,3
"237","LAC","Chris Wilcox\wilcoch01",19.301,"F","us","University of Maryland",2003,2013,628,19.9,8.2,4.9,0.7,0.5,0.4,0.541,0.543,0,0.643,0.0101882610776783,0.103,2002,8
"238","NYK","Mike Sweetney\sweetmi01",20.249,"F","us","Georgetown University",2004,2007,233,15.5,6.5,4.5,0.6,0.3,0.5,0.485,0.485,0,0.689,-0.580248522422342,0.103,2003,9
"239","BOS","Tony Allen\allento01",22.17,"G-F","us","Oklahoma State University",2005,2018,820,22,8.1,3.5,1.3,1.4,0.4,0.475,0.492,0.282,0.709,0.371869432122194,0.103,2004,25
"240","BRK","Kyle Kuzma\kuzmaky01",21.339,"F","us","University of Utah",2018,2018,26,30.4,16.3,6.7,1.5,0.3,0.2,0.491,0.557,0.365,0.773,-0.768817338095124,0.103,2017,27
"241","SEA","Doug Christie\chrisdo01",22.052,"G-F","us","Pepperdine University",1993,2007,827,31.5,11.2,4.1,3.6,1.9,0.5,0.426,0.456,0.354,0.821,0.900480374418024,0.102,1992,17
"242","IND","Eric Piatkowski\piatker01",23.278,"G-F","us","University of Nebraska",1995,2008,789,18.5,7.5,2.2,1,0.5,0.1,0.434,0.464,0.399,0.839,0.136931235546269,0.102,1994,15
"243","PHO","Wesley Person\persowe01",23.099,"G","us","Auburn University",1995,2005,733,28.3,11.2,3.3,1.7,0.8,0.3,0.457,0.484,0.418,0.778,0.538799203373508,0.102,1994,23
"244","DAL","Robert Traylor\traylro01",21.148,"F","us","University of Michigan",1999,2005,438,14.3,4.8,3.7,0.7,0.6,0.7,0.474,0.478,0.167,0.577,-0.410227459110818,0.102,1998,6
"245","WAS","Richard Hamilton\hamilri01",21.141,"G-F","us","University of Connecticut",2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,0.449,0.463,0.346,0.852,1.1199621106929,0.102,1999,7
"246","UTA","Kris Humphries\humphkr01",19.143,"F-C","us","University of Minnesota",2005,2017,800,17.8,6.7,5.4,0.7,0.4,0.6,0.463,0.471,0.293,0.7,0.115292191124802,0.102,2004,14
"247","NYK","Jordan Hill\hilljo01",21.339,"C-F","us","University of Arizona",2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,0.497,0.499,0.136,0.699,-0.314397405244322,0.102,2009,8
"248","LAC","Loy Vaught\vaughlo01",22.126,"F","us","University of Michigan",1991,2001,689,24.7,10.1,7.1,0.9,0.7,0.3,0.504,0.508,0.244,0.718,0.285313254436327,0.101,1990,13
"249","PHI","Clarence Weatherspoon\weathcl01",21.295,"F","us","University of Southern Mississippi",1993,2005,915,30.3,11.5,7.5,1.5,1,0.9,0.471,0.473,0.196,0.743,0.983945260043681,0.101,1992,9
"250","DAL","Etan Thomas\thomaet01",22.094,"F","us","Syracuse University",2002,2011,409,17.3,5.7,4.7,0.4,0.3,1,0.513,0.513,NA,0.603,-0.360766786147465,0.101,2000,12
"251","DEN","Mamadou N'Diaye\ndiayma02",25.019,"C","sn","Auburn University",2001,2005,69,12.4,3.8,3.3,0.1,0.2,0.9,0.427,0.429,0,0.736,-0.765726046034914,0.101,2000,26
"252","MIA","Dorell Wright\wrighdo01",18.209,"F-G","us",NA,2005,2015,549,22.4,8.4,3.8,1.5,0.8,0.5,0.424,0.469,0.365,0.806,-0.020724659524417,0.101,2004,19
"253","PHI","Thaddeus Young\youngth01",19.011,"F","us","Georgia Institute of Technology",2008,2018,768,30.7,13.6,5.9,1.6,1.4,0.4,0.5,0.521,0.329,0.677,0.708820266685032,0.101,2007,12
"254","WAS","Bradley Beal\bealbr01",19.005,"G","us","University of Florida",2013,2018,353,33.4,18.2,3.6,3.1,1,0.3,0.443,0.468,0.395,0.795,-0.0578201642469314,0.101,2012,3
"255","PHI","Shawn Bradley\bradlsh01",21.105,"C","de","Brigham Young University",1994,2005,832,23.5,8.1,6.3,0.7,0.6,2.5,0.457,0.459,0.103,0.716,0.436786565386594,0.1,1993,2
"256","POR","Aaron McKie\mckieaa01",21.275,"G","us","Temple University",1995,2007,793,24.2,7.4,3.3,2.7,1.2,0.2,0.438,0.461,0.35,0.779,0.415147520965127,0.1,1994,17
"257","UTA","Martin Muursepp\muursma01",21.279,"F","ee",NA,1997,1998,83,11.5,4.7,2.2,0.6,0.5,0.3,0.425,0.45,0.323,0.693,-0.759543461914495,0.1,1996,25
"258","NJN","Kenyon Martin\martike01",22.186,"F","us","University of Cincinnati",2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,0.483,0.492,0.234,0.629,0.662450885781889,0.1,2000,1
"259","CHI","Derrick Rose\rosede01",19.27,"G","us","University of Memphis",2009,2018,477,34.5,19.4,3.7,5.9,0.8,0.4,0.451,0.479,0.297,0.821,0.238943873533184,0.1,2008,1
"260","SAS","Cory Joseph\josepco01",19.312,"G","ca","University of Texas at Austin",2012,2018,393,19.8,6.9,2.3,2.5,0.7,0.2,0.453,0.48,0.337,0.775,-0.320579989364742,0.1,2011,29
"261","NOH","Nerlens Noel\noelne01",19.083,"C-F","us","University of Kentucky",2015,2018,211,26.3,9.5,7.2,1.5,1.5,1.4,0.512,0.512,0.333,0.625,-0.46277942413438,0.1,2013,6
"262","DEN","Tony Battie\battito01",21.14,"C-F","us","Texas Tech University",1998,2012,837,21.1,6.1,5.1,0.6,0.5,0.9,0.488,0.494,0.162,0.69,0.303861006797584,0.099,1997,5
"263","BOS","Delonte West\westde01",20.339,"G","us","Saint Joseph's University",2005,2012,432,27.4,9.7,2.9,3.6,1.1,0.4,0.448,0.479,0.372,0.826,-0.0640027483673504,0.099,2004,24
"264","PHI","Thabo Sefolosha\sefolth01",22.062,"G-F","ch",NA,2007,2018,768,23.2,6,3.9,1.5,1.1,0.4,0.449,0.5,0.349,0.736,0.310043590918003,0.099,2006,13
"265","MEM","Hasheem Thabeet\thabeha01",22.135,"C","tz","University of Connecticut",2010,2014,224,10.5,2.2,2.7,0.1,0.3,0.8,0.567,0.567,NA,0.578,-0.672987284228628,0.099,2009,2
"266","PHO","Jayson Williams\willija01",22.131,"F-C","us","St. John's University",1991,1999,475,20.6,7.3,7.5,0.6,0.4,0.6,0.44,0.442,0.125,0.606,-0.203110891076779,0.098,1990,21
"267","IND","Travis Best\besttr01",22.356,"G","us","Georgia Institute of Technology",1996,2005,708,21.4,7.6,1.8,3.5,0.9,0.1,0.431,0.449,0.345,0.835,0.13383994348606,0.098,1995,23
"268","NJN","Nenad Krstic\krstine01",18.341,"C","rs",NA,2005,2011,419,25.2,10,5.4,0.8,0.4,0.7,0.494,0.495,0.143,0.73,-0.156741510173636,0.098,2002,24
"269","SAS","Leandro Barbosa\barbole01",20.215,"G","br",NA,2004,2017,850,21.6,10.6,2,2.1,0.8,0.1,0.459,0.498,0.387,0.821,0.334773927399679,0.098,2003,28
"270","CHA","Michael Kidd-Gilchrist\kiddgmi01",18.28,"F","us","University of Kentucky",2013,2018,306,27.1,9.2,6.3,1.3,0.7,0.8,0.474,0.478,0.2,0.707,-0.298940944943275,0.098,2012,2
"271","MIL","Terry Mills\millste01",22.194,"F","us","University of Michigan",1991,2001,678,24.2,10.6,5.4,1.3,0.6,0.4,0.457,0.478,0.384,0.781,0.208030952931088,0.097,1990,16
"272","ATL","Stacey Augmon\augmost01",22.334,"F-G","us","University of Nevada Las Vegas",1992,2006,1001,21.6,8,3.2,1.6,1,0.3,0.469,0.473,0.152,0.728,0.532616619253089,0.097,1991,9
